number , PDBID , -log10(K) , Ligand
154, 2d3u , 6.92 , CCT
155, 2d3z , 6.64 , FIH
160, 2f5t , 5.17 , MAL
167, 2fai , 6.24 , 459
168, 2fdp , 7.59 , FRP
169, 2ff1 , 8.21 , IMH
170, 2fpz , 3.96 , 270
171, 2fqt , 6.14 , H1D
172, 2fqw , 6.68 , NOS
173, 2fqx , 7.15 , GMP
174, 2fqy , 6.57 , ADN
175, 2fvd , 8.52 , LIA
176, 2fw6 , 2.92 , CIT
178, 2fxu , 8.15 , BID
180, 2h6b , 5.39 , 3C4
182, 2hb1 , 3.8 , 512
184, 2hdq , 1.4 , C21
185, 2hdr , 1.72 , 4A3
187, 2i0a , 11.4 , MUI
188, 2i0d , 12.1 , MUT
190, 2il2 , 7.1 , LIX
192, 2iwx , 6.68 , M1S
193, 2j2u , 7.05 , GSQ
194, 2j34 , 7.82 , GS6
195, 2j4i , 9 , GSJ
196, 2j78 , 6.42 , GOX
201, 1bcj , 3.7 , NGA
202, 1bky , 3.84 , 1MC
204, 1d4i , 8.85 , BEG
205, 1d4j , 8.36 , MSC
207, 1eby , 9.7 , BEB
208, 1ebz , 9.4 , BEC
209, 1ec0 , 8.49 , BED
210, 1ec1 , 8.92 , BEE
211, 1ec2 , 10 , BEJ
213, 1enu , 5.08 , APZ
214, 1f74 , 3.05 , NAY
215, 1gi9 , 5.96 , 123
217, 1gww , 4.28 , UDP
218, 1gx0 , 4.28 , UDP
220, 1o5a , 6.42 , 696
222, 1o5r , 8.12 , FR9
223, 1q4w , 6.46 , DQU
224, 1qkt , 9.04 , EST
225, 1qxl , 7.96 , FR8
226, 1rdi , 2.06 , MFU
227, 1rdn , 1.84 , NDG
230, 1tr7 , 6.82 , DEG
232, 1usi , 6.74 , LYS
233, 1usk , 6.4 , LEU
234, 1w3k , 4.3 , BGC-OXZ
235, 1yxd , 4.57 , LYS
237, 2a3c , 4.37 , PNX
247, 2fv5 , 10.52 , 541
249, 2h21 , 6.54 , SAM
251, 2hd6 , 7.8 , BOS
257, 2buv , 4 , DHB
260, 1xl5 , 7.35 , 190
261, 1y93 , 2.1 , HAE
262, 4ubp , 5.59 , HAE
266, 1lhw , 8.16 , ESM
269, 1q0y , 9 , MOI
270, 1s50 , 5.85 , GLU
271, 1s7y , 5.85 , GLU
272, 1s9t , 6.6 , QUS
273, 1tt1 , 7.19 , KAI
274, 1txf , 7.24 , GLU
276, 1uld , 5.35 , NAG-GAL-FUC
277, 1uzv , 5.18 , FUC
278, 1zhx , 7.26 , HC3
281, 2dm5 , 2.99 , ODI
283, 1q6e , 2.62 , GLC-GLC
284, 1q6g , 2.06 , GLC-GLC
286, 1xw6 , 5.62 , GSH
287, 1ax2 , 3.99 , NGD-GAL
290, 2hj4 , 5.37 , PNZ
291, 2qrk , 4.26 , AMP
292, 2nn1 , 5.82 , M28
293, 2pou , 7.42 , I7A
294, 1z3t , 3.94 , CBI
296, 3cd0 , 7.57 , 6HI
297, 3cda , 7.58 , 8HI
